timestamp,elapsed_sec,latency_ms,type
1767954164.2064776,520.81,0.96,send_ack_simulated
1767954192.2157729,548.82,0.02,send_ack_simulated
1767954192.2167187,548.83,0.23,send_ack_simulated
1767954192.2171917,548.83,0.02,send_ack_simulated
1767954192.2190118,548.83,1.90,send_ack_simulated
1767954192.2194538,548.83,0.06,send_ack_simulated
1767954192.2198658,548.83,0.22,send_ack_simulated
1767954192.2201407,548.83,0.17,send_ack_simulated
1767954192.2203543,548.83,1.88,send_ack_simulated
1767954220.2271206,576.84,0.56,send_ack_simulated
1767954220.2312834,576.84,1.10,send_ack_simulated
1767954220.2328026,576.84,0.09,send_ack_simulated
1767954220.2332065,576.84,0.58,send_ack_simulated
1767954220.2336478,576.84,0.90,send_ack_simulated
1767954220.2339122,576.84,1.30,send_ack_simulated
1767954220.2342792,576.84,0.03,send_ack_simulated
1767954248.239621,604.85,0.52,send_ack_simulated
1767954248.2406862,604.85,0.02,send_ack_simulated
1767954248.241347,604.85,0.02,send_ack_simulated
1767954248.2417285,604.85,0.68,send_ack_simulated
1767954248.2420478,604.85,0.25,send_ack_simulated
1767954248.2423668,604.85,0.21,send_ack_simulated
1767954248.2426207,604.85,0.03,send_ack_simulated
1767954248.242812,604.85,0.02,send_ack_simulated
1767954248.2429798,604.85,0.18,send_ack_simulated
1767954248.243188,604.85,0.24,send_ack_simulated
1767954248.2433674,604.85,0.02,send_ack_simulated
1767954248.2435987,604.85,0.26,send_ack_simulated
1767954248.2437682,604.85,0.10,send_ack_simulated
1767954276.2498236,632.86,0.63,send_ack_simulated
1767954276.2519786,632.86,0.09,send_ack_simulated
1767954276.2536552,632.86,0.33,send_ack_simulated
1767954276.2541218,632.86,0.56,send_ack_simulated
1767954276.2544103,632.86,0.04,send_ack_simulated
1767954276.2550836,632.86,0.04,send_ack_simulated
1767954276.2552893,632.86,0.10,send_ack_simulated
1767954276.255496,632.86,0.03,send_ack_simulated
1767954304.2647839,660.87,0.52,send_ack_simulated
1767954304.2656224,660.87,0.51,send_ack_simulated
1767954304.2668202,660.88,0.02,send_ack_simulated
1767954304.2676785,660.88,0.02,send_ack_simulated
1767954304.2680407,660.88,0.83,send_ack_simulated
1767954304.2683365,660.88,0.37,send_ack_simulated
1767954332.2805007,688.89,0.02,send_ack_simulated
1767954332.282011,688.89,0.38,send_ack_simulated
1767954332.283182,688.89,0.05,send_ack_simulated
1767954332.2833903,688.89,1.09,send_ack_simulated
1767954332.2835977,688.89,0.63,send_ack_simulated
1767954332.28389,688.89,0.04,send_ack_simulated
1767954332.2841668,688.89,0.05,send_ack_simulated
1767954332.2844849,688.89,0.02,send_ack_simulated
1767954332.284904,688.89,0.01,send_ack_simulated
1767954360.2932365,716.90,0.63,send_ack_simulated
1767954360.2955253,716.90,0.57,send_ack_simulated
1767954360.296087,716.90,0.10,send_ack_simulated
1767954360.2963257,716.90,0.04,send_ack_simulated
1767954360.2965095,716.90,0.05,send_ack_simulated
1767954388.306213,744.91,0.13,send_ack_simulated
1767954388.3082488,744.92,1.12,send_ack_simulated
