timestamp,elapsed_sec,vip_sent_rate,normal_sent_rate,total_sent_rate,errors_rate
1768237828.9502296,82.11,460000,0,460000,240
1768237829.9503953,83.11,376000,0,376000,238
1768237830.9505906,84.11,340000,0,340000,239
1768237831.951805,85.11,300000,0,300000,241
1768237832.9532764,86.11,334000,0,334000,243
1768237833.9536357,87.11,384000,0,384000,234
1768237834.9538631,88.11,356000,0,356000,119
1768237835.9540446,89.11,198000,0,198000,23
1768237836.9543421,90.11,54000,0,54000,2
1768237837.9545717,91.11,0,0,0,0
1768237838.9548807,92.11,0,0,0,0
1768237839.9550977,93.11,0,0,0,0
1768237840.9553595,94.11,0,0,0,0
1768237841.955548,95.11,0,0,0,0
1768237842.9557724,96.12,0,0,0,0
1768237843.955971,97.12,0,0,0,0
1768237844.9562266,98.12,0,0,0,0
1768237845.9568775,99.12,0,0,0,0
1768237846.957074,100.12,0,0,0,0
1768237847.9572947,101.12,0,0,0,0
1768237848.9574847,102.12,0,0,0,0
1768237849.9576862,103.12,0,0,0,0
1768237850.9578865,104.12,0,0,0,0
1768237851.958088,105.12,0,0,0,0
1768237852.9582963,106.12,0,0,0,0
1768237853.958473,107.12,0,0,0,0
1768237854.9586565,108.12,0,0,0,0
1768237855.9588614,109.12,0,0,0,0
1768237856.959055,110.12,0,0,0,0
1768237857.9592776,111.12,0,0,0,0
1768237858.9594617,112.12,0,0,0,0
1768237859.9596665,113.12,0,0,0,0
1768237860.959864,114.12,0,0,0,0
1768237861.9600618,115.12,0,0,0,0
1768237862.9602928,116.12,0,0,0,0
1768237863.9604852,117.12,0,0,0,0
1768237864.9606643,118.12,0,0,0,0
1768237865.9608438,119.12,0,0,0,0
1768237866.9610624,120.12,0,0,0,0
1768237867.9612677,121.12,0,0,0,0
1768237868.961529,122.12,0,0,0,0
1768237869.9617398,123.12,0,0,0,0
1768237870.962006,124.12,0,0,0,0
1768237871.9622672,125.12,0,0,0,0
1768237872.9625282,126.12,0,0,0,0
1768237873.9627154,127.12,0,0,0,0
1768237874.96293,128.12,0,0,0,0
1768237875.9631274,129.12,0,0,0,0
1768237876.9634187,130.12,0,0,0,0
1768237877.9636066,131.12,0,0,0,0
1768237878.9638073,132.12,0,0,0,0
1768237879.964003,133.12,0,0,0,0
1768237880.9642365,134.12,0,0,0,0
1768237881.9644766,135.12,0,0,0,0
1768237882.9647362,136.12,0,0,0,0
1768237883.9649525,137.12,0,0,0,0
1768237884.9651692,138.12,0,0,0,0
1768237885.9654024,139.12,0,0,0,0
1768237886.9656513,140.12,0,0,0,0
